,adjusted_close,date,high,low,open,symbol,volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
2021-03-08,116.36,2021-03-08,121.0,116.21,120.93,AAPL,154376610.0,-144707928.7891437,154376610.0,-0.9373695198329832,0.0,50.0,0.0,0.0,66425031.3748933,1000.0,117.85666666666668,0.0,116.36,116.36,116.36,0.0,0.0,0.0,0.0,117.85666666666667,122.64666666666666,113.06666666666666,8.128517690980567,0.34377174669450283,0.0,0.0,116.21,121.0,118.60499999999999,4.1165348917153715,0.03131524008350845,0.0,0.0,0.0,0.0,116.36,116.36,116.36,116.36,0.0,0.0,0.0,0.0,0.0,0.0,38.03476795290791,1.0,0.0,-34.96079797739061,429.4980430849915,429.4980430849915,0.0,118.60499999999999,118.60499999999999,118.60499999999999,118.60499999999999,230.334796,230.4596181,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.131524008350845,3.131524008350845,-96.86847599164915,0.0,116.36,0.0,0.0,0.0,0.0,42.949804308499154,0.0,0.0
2021-03-05,121.42,2021-03-05,121.935,117.57,120.98,AAPL,153766601.0,-27225313.821216986,308143211.0,-0.08835279457517234,778059001.0600003,100.0,3.257428770243816,3.257428770243816,72991105.39137614,1043.4857339291852,119.0800733057256,0.0,118.89,123.95,113.83,8.51206998065439,0.75,0.0,0.0,119.08250000000001,123.66,114.505,7.687947431402599,0.7553249590387772,0.0,0.0,116.21,121.935,119.07249999999999,4.8153755572377905,0.9100436681222708,0.0,0.40364672364671605,0.08072934472934322,0.3229173789173728,118.89,118.89,117.13846153846154,116.73481481481483,0.0,0.0,0.0,0.12672714719649736,0.07592560958672248,0.05080153760977488,0.008493307408040093,1.9857531950555207,66.66666666666629,-37.49079797739061,460.57942886193405,445.03873597346274,15.540692888471312,119.07249999999999,119.07249999999999,119.07249999999999,119.07249999999999,230.334796,230.4596181,8.0,4.0,4.0,-1.0,-1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,48.81813796430293,91.00436681222708,47.067945410288964,-8.995633187772922,0.0,118.56924121968771,0.0,-0.031530640553782074,-0.006306128110756416,-0.02522451244302566,4.34857339291852,4.256677607528747,4.34857339291852
2021-03-04,120.13,2021-03-04,123.6,118.62,121.75,AAPL,178154975.0,-97342532.89752263,129988236.0,-0.20017046269122343,634076298.3728572,100.0,3.7946456448942807,3.5260372075690483,4793885.274347736,1043.4857339291852,119.70406133688178,0.0,119.30333333333333,123.5970289702203,115.00963769644636,7.197947478785672,0.5962651683511062,0.0,0.0,119.64944444444446,124.3611111111111,114.93777777777778,7.875785280147082,0.5509963447706638,0.0,0.0,116.21,123.6,119.905,6.194294655080887,0.5304465493910692,0.0,0.6123882111346433,0.18706111801040323,0.42532709312424,119.30333333333333,119.30333333333333,117.59869822485207,116.98631001371743,0.0,0.0,0.0,0.23436971345364632,0.13448096276008883,0.09988875069355749,0.020127932585650567,2.9835730843729777,63.24759838859626,-37.90413131072394,465.6572837187731,451.91158522189954,13.745698496873558,119.905,119.905,119.905,119.905,230.334796,230.4596181,8.0,4.0,4.0,-1.0,121.0,0.0,1.0,0.0,78.45896946564878,0.0,0.0,0.0,99.43506536162386,42.815249266862125,53.04465493910692,49.060181919894944,-46.95534506089308,0.0,119.20289562455805,0.0,1.1911114685822275,0.23317739122784037,0.9579340773543872,-1.062427936089616,-1.068111996900445,3.2399449982811968
2021-03-03,122.06,2021-03-03,125.71,121.84,124.81,AAPL,112966340.0,-197465154.6546286,242954576.0,-0.3295125042235999,574640403.7767348,100.0,9.129754934080339,5.393943116406145,-77859.0738460517,1060.2503012020009,120.3637031694164,0.0,119.99249999999999,124.4113544895708,115.57364551042919,7.365217808731055,0.7339407198041524,0.0,0.0,120.53791666666667,125.03916666666666,116.03666666666666,7.4686042773539425,0.6690734055355003,0.0,0.0,116.21,125.71,120.96,7.917161489259746,0.6157894736842114,0.0,0.9229134425153944,0.33423158291140154,0.5886818596039929,119.99249999999999,119.99249999999999,118.28505234410561,117.36213890159021,0.0,0.0,0.0,0.33811303836798984,0.15259492657573637,0.18551811179225347,0.036561322318180815,3.951726704278655,122.0918026529244,-38.593297977390606,474.1237876837044,457.4646358373508,16.65915184635361,120.96,120.96,120.96,120.96,230.334796,230.4596181,16.0,4.0,12.0,118.62,121.0,1.0,0.0,0.0,84.00899060073554,0.0,0.0,0.0,98.98074173498748,40.62126642771805,61.57894736842115,68.54265637325172,-38.42105263157886,0.0,120.34992483456969,0.0,-1.2212563070140106,-0.05770934842052983,-1.1635469585934808,1.6065928577374544,1.5938237383065434,4.898590580955653
2021-03-02,125.12,2021-03-02,128.72,125.01,128.41,AAPL,102260945.0,-293662108.3069197,345215521.0,-0.4186050549074357,537251559.1943442,100.0,11.210438158966742,6.8480668770462945,4378554.010811647,1086.8303923184856,121.22660408982027,0.0,121.01799999999999,126.71426403882404,115.32173596117593,9.413912044198474,0.8600605565368807,0.0,0.0,121.68700000000001,126.03,117.34400000000001,7.137985158644714,0.8952337094174537,0.0,0.0,116.21,128.72,122.465,10.337305194268627,0.7122302158273387,0.0,1.399787473454552,0.5473427610200317,0.8524447124345202,121.01799999999999,121.01799999999999,119.33658275270474,117.93679527925019,0.0,0.0,0.0,0.4122873788603772,0.1475259600548014,0.2647614188055758,0.06055231420421731,4.8960041379418575,125.32264514487218,-39.6187979773906,486.72219128617655,463.31614692711594,23.406044359060616,122.465,122.465,122.465,122.465,230.334796,230.4596181,20.0,4.0,16.0,118.62,121.0,0.0,0.0,0.0,88.89454081833142,0.0,0.0,0.0,98.61796465755486,41.90683342396232,71.22302158273388,61.94887463008731,-28.77697841726613,0.0,122.2289769852689,0.0,-3.767830613117977,-0.7997336013600194,-2.9680970117579575,2.506963788300842,2.4760549680651778,7.52836026125816
2021-03-01,127.79,2021-03-01,127.93,122.79,123.75,AAPL,116307892.0,-183690054.7816279,461523413.0,-0.2246057242123392,504864489.5437236,81.99965420441711,-6.651053395413595,4.148242822554317,5045598.758102754,1086.8303923184856,121.92962744842397,0.0,122.14666666666665,129.3935479882345,114.89978534509879,11.865868335718572,0.8893628916302185,0.0,0.0,122.43416666666667,126.91000000000001,117.95833333333333,7.311412255565928,1.0983057158815857,1.0,0.0,116.21,128.72,122.465,10.241785831241137,0.9256594724220629,0.0,1.9704461874558206,0.8319634463071894,1.1384827411486311,122.14666666666665,122.14666666666665,120.63710848305786,118.66666229560204,0.0,0.0,0.0,0.4241454289114888,0.22410337114942833,0.2000420577620605,0.09290270277523348,5.876436143916144,89.43640897755637,-40.74746464405726,500.58801108073874,469.52812428605307,31.059886794685667,122.465,122.465,122.465,122.465,230.334796,230.4596181,24.0,4.0,20.0,119.024,121.0,0.0,0.0,0.0,91.37162662733579,0.0,0.0,0.0,98.33004716367796,50.60351413292591,92.5659472422063,75.12263873112043,-7.434052757793703,0.7945833333333212,124.51262562280806,0.0,-5.026704682875004,-1.6451278176630164,-3.3815768652119877,2.1339514066496257,2.111501482361078,9.822963217600567
2021-02-26,121.26,2021-02-26,124.85,121.2,122.59,AAPL,163424672.0,-341741860.85286057,298098741.0,-0.3482691082910323,280289118.44319165,65.83992713009066,-5.215093838462781,2.5876867123848,-5868958.600939035,1086.8303923184856,122.01407283890931,0.0,122.01999999999998,128.75794373041848,115.28205626958149,11.043998902505317,0.44360297218208045,0.0,0.0,122.43452380952382,126.79238095238097,118.07666666666667,7.118673732315631,0.365240670928263,0.0,0.0,116.21,128.72,122.465,10.252417636453046,0.4036770583533181,0.0,1.874176562386097,1.040406069522971,0.833770492863126,122.01999999999998,122.01999999999998,120.7329379472028,118.8587613848167,0.0,0.0,0.0,0.41422825571962724,0.2949715294352596,0.11925672628436762,0.11828527383390712,6.829086000089293,0.059842699190304154,-40.620797977390595,499.031894269772,473.74294856944147,25.288945700330544,122.465,122.465,122.465,122.465,230.334796,230.4596181,24.0,4.0,20.0,119.41184,121.0,0.0,0.0,0.0,57.55775102383673,0.0,0.0,0.0,95.09964062927513,42.273941243800095,40.36770583533181,68.05222488675732,-59.63229416466819,1.385214285714298,123.49364954015178,0.0,-3.3169929666419975,-1.9795008474588127,-1.3374921191831848,-5.109946005164723,-5.245129097702694,4.211069095909248
2021-02-25,120.99,2021-02-25,126.4585,120.54,124.68,AAPL,144766924.0,-464494721.89772046,153331817.0,-0.4125083713155247,234663948.7398784,70.92497770119118,1.938874259012388,2.494999219045884,-8673253.496833153,1084.410433503328,122.0974804582874,0.0,121.89124999999999,128.23073292449786,115.55176707550211,10.401867114329983,0.42891770427227904,0.0,0.0,122.4630625,127.016,117.910125,7.435609410796837,0.33822943978475406,0.0,0.0,116.21,128.72,122.465,10.263246951688497,0.3820943245403676,0.0,1.7558550434581264,1.1834958643100022,0.5723591791481242,121.89124999999999,121.89124999999999,120.77248595532545,119.01663091186732,0.0,0.0,0.0,0.4492949642728864,0.3270064284578195,0.12228853581506688,0.1371996509024214,7.84499935482892,6.291561276945656,-40.4920479773906,497.45018343230896,476.7063529272999,20.743830505009043,122.465,122.465,122.465,122.465,230.334796,230.4596181,24.0,4.0,20.0,119.7841664,121.0,0.0,0.0,0.0,56.62465903583263,0.0,0.0,0.0,92.34726230730968,40.29152441179002,38.209432454036765,57.04769517719162,-61.79056754596324,1.7558812500000016,122.72491982130713,0.0,-2.9833380117502246,-2.180268280317095,-0.8030697314331294,-0.22266204849085147,-0.22291030901984143,3.979030594706079
2021-02-24,125.35,2021-02-24,125.56,122.23,124.94,AAPL,111039904.0,-367459850.8346579,264371721.0,-0.297041700742783,270302524.8398957,73.94191494676757,1.186823342354473,2.3314772344594576,3679096.9834663835,1123.4882869629075,122.30236118715656,0.0,122.27555555555553,128.6355633201288,115.91554779098227,10.40274605284228,0.7417013121878434,0.0,0.0,122.67605555555555,127.09311111111111,118.25899999999999,7.201169837997015,0.802684040398958,0.0,0.0,116.21,128.72,122.465,10.230990113405067,0.7306155075939246,0.0,1.9909495224352582,1.3449865959350535,0.6459629265002047,122.27555555555553,122.27555555555553,121.47671888527537,119.48576936284012,0.0,0.0,0.0,0.4843566746952269,0.3593187053105841,0.12503796938464284,0.15796691264890322,8.810489454367461,54.774859510429586,-40.87635353294614,502.17142818663484,479.53580573389274,22.635622452742098,122.465,122.465,122.465,122.465,230.334796,230.4596181,24.0,4.0,20.0,120.141599744,121.0,0.0,0.0,0.0,66.16380632852642,0.0,0.0,0.0,90.17495038308927,42.15970978067927,73.06155075939246,50.546229682920334,-26.93844924060754,1.6525444444444446,123.55433026428162,0.0,-4.5895371356378725,-2.662122051381251,-1.9274150842566216,3.603603603603611,3.540192705091627,7.726022688209011
2021-02-23,125.86,2021-02-23,126.71,118.39,123.76,AAPL,158273022.0,-241526268.42600387,422644743.0,-0.17309518434382928,243219198.60848218,64.46335773168016,-7.070314232074271,1.2868337381779322,4645388.84931346,1123.4882869629075,122.45560180830778,5.8123499999999995,122.63399999999997,129.0394739090874,116.22852609091252,10.446489406016997,0.7518158723137808,0.0,0.0,122.77378333333334,127.58113333333333,117.96643333333331,7.831232156376501,0.820989387777744,0.0,0.0,116.21,128.72,122.465,10.20108615881404,0.7713828936850521,0.0,2.193135230779916,1.514616322904026,0.67851890787589,122.63399999999997,122.63399999999997,122.15106982600224,119.95793459522233,0.0,0.0,0.0,0.48920044579301064,0.4043017574538626,0.08489868833914804,0.17957262473220403,9.916819540159572,29.85244329800618,-41.234797977390585,506.5749657587217,488.0999082531961,18.475057505525626,123.145,122.465,122.805,122.465,230.334796,230.4596181,24.0,4.0,20.0,120.141599744,128.72,0.0,1.0,0.0,67.07591939953785,0.0,0.0,0.0,88.40247780084037,51.13737351575026,77.13828936850521,62.8030908606448,-22.86171063149479,0.8221749999999872,124.2936967421738,0.0,-3.1321153594901654,-2.756120713003034,-0.3759946464871313,0.40686078978859896,0.40603534944851916,8.164317634926089
