,accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentLiabilities,otherNonCurrrentAssets,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,symbol,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
2020-12-31,67560000000.0,118745000000.0,36010000000.0,76826000000.0,118745000000.0,118745000000.0,118745000000.0,118745000000.0,118745000000.0,58620000000.0,118745000000.0,2020-12-31,,,,4973000000.0,355132000000.0,118745000000.0,118745000000.0,118745000000.0,118745000000.0,118745000000.0,118745000000.0,118745000000.0,37933000000.0,USD,118745000000.0,118745000000.0,118745000000.0,118745000000.0,AAPL,354054000000.0,154106000000.0,118745000000.0,118745000000.0,199948000000.0,118745000000.0,118745000000.0,118745000000.0
2020-09-30,66760000000.0,100887000000.0,38016000000.0,90943000000.0,100887000000.0,100887000000.0,100887000000.0,100887000000.0,100887000000.0,37445000000.0,100887000000.0,2020-09-30,,,,4061000000.0,345644000000.0,100887000000.0,100887000000.0,100887000000.0,100887000000.0,100887000000.0,100887000000.0,100887000000.0,36766000000.0,USD,100887000000.0,100887000000.0,100887000000.0,100887000000.0,AAPL,323888000000.0,143713000000.0,100887000000.0,100887000000.0,180175000000.0,100887000000.0,100887000000.0,100887000000.0
2020-06-30,65230000000.0,100592000000.0,33383000000.0,93025000000.0,100592000000.0,100592000000.0,100592000000.0,100592000000.0,100592000000.0,32075000000.0,100592000000.0,2020-06-30,,,,3978000000.0,353851000000.0,100592000000.0,100592000000.0,100592000000.0,100592000000.0,100592000000.0,100592000000.0,100592000000.0,35687000000.0,USD,100592000000.0,100592000000.0,100592000000.0,100592000000.0,AAPL,317344000000.0,140065000000.0,100592000000.0,100592000000.0,177279000000.0,100592000000.0,100592000000.0,100592000000.0
2020-03-31,62854000000.0,98793000000.0,40174000000.0,94051000000.0,98793000000.0,98793000000.0,98793000000.0,98793000000.0,98793000000.0,30677000000.0,98793000000.0,2020-03-31,,,,3334000000.0,345514000000.0,98793000000.0,98793000000.0,98793000000.0,98793000000.0,98793000000.0,98793000000.0,98793000000.0,35889000000.0,USD,98793000000.0,98793000000.0,98793000000.0,98793000000.0,AAPL,320400000000.0,143753000000.0,98793000000.0,98793000000.0,176647000000.0,98793000000.0,98793000000.0,98793000000.0
2019-12-31,60959000000.0,99899000000.0,39771000000.0,107162000000.0,99899000000.0,99899000000.0,99899000000.0,99899000000.0,99899000000.0,39946000000.0,99899000000.0,2019-12-31,,,,4097000000.0,374351000000.0,99899000000.0,99899000000.0,99899000000.0,99899000000.0,99899000000.0,99899000000.0,99899000000.0,37031000000.0,USD,99899000000.0,99899000000.0,99899000000.0,99899000000.0,AAPL,340618000000.0,163231000000.0,99899000000.0,99899000000.0,177387000000.0,99899000000.0,99899000000.0,99899000000.0
2019-09-30,58579000000.0,105341000000.0,48844000000.0,100557000000.0,105341000000.0,105341000000.0,105341000000.0,105341000000.0,105341000000.0,45804000000.0,105341000000.0,2019-09-30,,,,4106000000.0,362952000000.0,105341000000.0,105341000000.0,105341000000.0,105341000000.0,105341000000.0,105341000000.0,105341000000.0,37378000000.0,USD,105341000000.0,105341000000.0,105341000000.0,105341000000.0,AAPL,338516000000.0,162819000000.0,105341000000.0,105341000000.0,175697000000.0,105341000000.0,105341000000.0,105341000000.0
2019-06-30,56348000000.0,115996000000.0,50530000000.0,94614000000.0,115996000000.0,115996000000.0,115996000000.0,115996000000.0,115996000000.0,26474000000.0,115996000000.0,2019-06-30,,,,3355000000.0,370690000000.0,115996000000.0,115996000000.0,115996000000.0,115996000000.0,115996000000.0,115996000000.0,115996000000.0,37636000000.0,USD,115996000000.0,115996000000.0,115996000000.0,115996000000.0,AAPL,322239000000.0,134973000000.0,115996000000.0,115996000000.0,187266000000.0,115996000000.0,115996000000.0,115996000000.0
2019-03-31,54290000000.0,145319000000.0,37988000000.0,80092000000.0,145319000000.0,145319000000.0,145319000000.0,145319000000.0,145319000000.0,26278000000.0,145319000000.0,2019-03-31,,,,4884000000.0,414334000000.0,145319000000.0,145319000000.0,145319000000.0,145319000000.0,145319000000.0,145319000000.0,145319000000.0,38746000000.0,USD,145319000000.0,145319000000.0,145319000000.0,145319000000.0,AAPL,341998000000.0,123346000000.0,145319000000.0,145319000000.0,218652000000.0,145319000000.0,145319000000.0,145319000000.0
2018-12-31,51929000000.0,158608000000.0,44771000000.0,86427000000.0,158608000000.0,158608000000.0,158608000000.0,158608000000.0,158608000000.0,36981000000.0,158608000000.0,2018-12-31,,,,4988000000.0,446799000000.0,158608000000.0,158608000000.0,158608000000.0,158608000000.0,158608000000.0,158608000000.0,158608000000.0,39597000000.0,USD,158608000000.0,158608000000.0,158608000000.0,158608000000.0,AAPL,373719000000.0,140828000000.0,158608000000.0,158608000000.0,232891000000.0,158608000000.0,158608000000.0,158608000000.0
2018-09-30,49099000000.0,170799000000.0,25913000000.0,25913000000.0,170799000000.0,170799000000.0,170799000000.0,170799000000.0,170799000000.0,48995000000.0,170799000000.0,2018-09-30,,,,3956000000.0,448287000000.0,170799000000.0,170799000000.0,170799000000.0,170799000000.0,170799000000.0,170799000000.0,170799000000.0,41304000000.0,USD,170799000000.0,170799000000.0,170799000000.0,170799000000.0,AAPL,365725000000.0,131339000000.0,170799000000.0,170799000000.0,234386000000.0,170799000000.0,170799000000.0,170799000000.0
