,comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,symbol,totalRevenue
2020-12-31,29340000000.0,-67111000000.0,-67111000000.0,,,33534000000.0,,2020-12-31,44328000000.0,33579000000.0,-4824000000.0,-638000000.0,-638000000.0,747000000.0,747000000.0,28755000000.0,28755000000.0,-638000000.0,111439000000.0,-10794000000.0,33534000000.0,-64000000.0,USD,-5163000000.0,-5631000000.0,AAPL,110801000000.0
2020-09-30,12817000000.0,-40009000000.0,-40009000000.0,,,14775000000.0,,2020-09-30,24689000000.0,14901000000.0,-2228000000.0,-634000000.0,-634000000.0,134000000.0,768000000.0,12673000000.0,12673000000.0,-634000000.0,64698000000.0,-9914000000.0,14775000000.0,-8000000.0,USD,-4978000000.0,-4936000000.0,AAPL,64064000000.0
2020-06-30,13492000000.0,-37005000000.0,-37005000000.0,,,13091000000.0,,2020-06-30,22680000000.0,13137000000.0,-1884000000.0,-697000000.0,-697000000.0,901000000.0,901000000.0,11253000000.0,11253000000.0,-697000000.0,59685000000.0,-9589000000.0,13091000000.0,-158000000.0,USD,-4758000000.0,-4831000000.0,AAPL,58988000000.0
2020-03-31,8878000000.0,-35943000000.0,-35943000000.0,,,12853000000.0,,2020-03-31,22370000000.0,13135000000.0,-1886000000.0,-757000000.0,-757000000.0,1049000000.0,1049000000.0,11249000000.0,11249000000.0,-757000000.0,58313000000.0,-9517000000.0,12853000000.0,-10000000.0,USD,-4565000000.0,-4952000000.0,AAPL,57556000000.0
2019-12-31,22266000000.0,-56602000000.0,-56602000000.0,,,25569000000.0,,2019-12-31,35217000000.0,25918000000.0,-3682000000.0,-785000000.0,-785000000.0,1045000000.0,1045000000.0,22236000000.0,22236000000.0,-785000000.0,91819000000.0,-9648000000.0,25569000000.0,89000000.0,USD,-4451000000.0,-5197000000.0,AAPL,91034000000.0
2019-09-30,13741000000.0,-39727000000.0,-39727000000.0,,,15625000000.0,,2019-09-30,24313000000.0,16127000000.0,-2441000000.0,-810000000.0,-810000000.0,1106000000.0,1106000000.0,13686000000.0,13686000000.0,-810000000.0,64040000000.0,-8688000000.0,15625000000.0,206000000.0,USD,-4110000000.0,-4578000000.0,AAPL,63230000000.0
2019-06-30,10904000000.0,-33582000000.0,-33582000000.0,,,11544000000.0,,2019-06-30,20227000000.0,11911000000.0,-1867000000.0,-866000000.0,-866000000.0,1190000000.0,1190000000.0,10044000000.0,10044000000.0,-866000000.0,53809000000.0,-8683000000.0,11544000000.0,43000000.0,USD,-4257000000.0,-4426000000.0,AAPL,52943000000.0
2019-03-31,13650000000.0,-36194000000.0,-36194000000.0,,,13415000000.0,,2019-03-31,21821000000.0,13793000000.0,-2232000000.0,-1010000000.0,-1010000000.0,1358000000.0,1358000000.0,11561000000.0,11561000000.0,-1010000000.0,58015000000.0,-8406000000.0,13415000000.0,30000000.0,USD,-3948000000.0,-4458000000.0,AAPL,57005000000.0
2018-12-31,19742000000.0,-52279000000.0,-52279000000.0,,,23346000000.0,,2018-12-31,32031000000.0,23906000000.0,-3941000000.0,-890000000.0,-890000000.0,,1307000000.0,19965000000.0,19965000000.0,-890000000.0,84310000000.0,-8685000000.0,23346000000.0,143000000.0,USD,-3902000000.0,-4783000000.0,AAPL,83420000000.0
2018-09-30,13782000000.0,-38816000000.0,-38816000000.0,,,16118000000.0,,2018-09-30,24084000000.0,16421000000.0,-2296000000.0,-868000000.0,-868000000.0,,1311000000.0,14125000000.0,14125000000.0,-868000000.0,,-7966000000.0,16118000000.0,-140000000.0,USD,-3750000000.0,-4216000000.0,AAPL,62900000000.0
2018-06-30,11472000000.0,-32844000000.0,-32844000000.0,,,12612000000.0,,2018-06-30,20421000000.0,13284000000.0,-1765000000.0,-846000000.0,-846000000.0,,1418000000.0,11519000000.0,11519000000.0,-846000000.0,,-7809000000.0,12612000000.0,100000000.0,USD,-3701000000.0,-4108000000.0,AAPL,52419000000.0
2018-03-31,11877000000.0,-37715000000.0,-37715000000.0,,,15894000000.0,,2018-03-31,23422000000.0,16168000000.0,-2346000000.0,-792000000.0,-792000000.0,,1505000000.0,13822000000.0,13822000000.0,-792000000.0,,-7528000000.0,15894000000.0,-439000000.0,USD,-3378000000.0,-4150000000.0,AAPL,60345000000.0
2017-12-31,19374000000.0,-54381000000.0,-54381000000.0,,,26274000000.0,,2017-12-31,33912000000.0,27030000000.0,-6965000000.0,-734000000.0,-734000000.0,,1452000000.0,20065000000.0,20065000000.0,-734000000.0,,-7638000000.0,26274000000.0,38000000.0,USD,-3407000000.0,-4231000000.0,AAPL,87559000000.0
2017-09-30,11109000000.0,-32648000000.0,-32648000000.0,,,13120000000.0,,2017-09-30,19931000000.0,13917000000.0,-3203000000.0,-666000000.0,-666000000.0,,1368000000.0,10714000000.0,10714000000.0,-666000000.0,,-6811000000.0,13120000000.0,95000000.0,USD,-2997000000.0,-3814000000.0,AAPL,51913000000.0
2017-06-30,8594000000.0,-27920000000.0,-27920000000.0,,,10768000000.0,,2017-06-30,17488000000.0,11308000000.0,-2591000000.0,-602000000.0,-602000000.0,,1327000000.0,8717000000.0,8717000000.0,-602000000.0,,-6720000000.0,10768000000.0,-185000000.0,USD,-2937000000.0,-3783000000.0,AAPL,44806000000.0
2017-03-31,10362000000.0,-32305000000.0,-32305000000.0,,,14097000000.0,,2017-03-31,20591000000.0,14684000000.0,-3655000000.0,-530000000.0,-530000000.0,,1282000000.0,11029000000.0,11029000000.0,-530000000.0,,-6494000000.0,14097000000.0,-165000000.0,USD,-2776000000.0,-3718000000.0,AAPL,52366000000.0
2016-12-31,17502000000.0,-48175000000.0,-48175000000.0,,,23359000000.0,,2016-12-31,30176000000.0,24180000000.0,-6289000000.0,-525000000.0,-525000000.0,,1224000000.0,17891000000.0,17891000000.0,-525000000.0,,-6817000000.0,23359000000.0,122000000.0,USD,-2871000000.0,-3946000000.0,AAPL,77826000000.0
2016-09-30,9755000000.0,-29039000000.0,-29039000000.0,,,11761000000.0,,2016-09-30,17813000000.0,12188000000.0,-3174000000.0,-450000000.0,-450000000.0,,1036000000.0,9014000000.0,9014000000.0,-450000000.0,,-6052000000.0,11761000000.0,-159000000.0,USD,-2570000000.0,-3482000000.0,AAPL,46402000000.0
